Sector,Tactic,Baseline_Penalty,Multiplier,Adjusted_Penalty
financial_services,ScopeOmission,-15,1.67,-25.049999999999997
financial_services,IntensityTricks,-10,1.0,-10.0
financial_services,SelectiveDisclosure,-10,1.2,-12.0
financial_services,BaselineManipulation,-8,1.0,-8.0
financial_services,WeakTargets,-5,1.0,-5.0
financial_services,OffsetsOnly,-5,1.0,-5.0
oil_gas,ScopeOmission,-15,0.8,-12.0
oil_gas,IntensityTricks,-10,1.5,-15.0
oil_gas,SelectiveDisclosure,-10,1.1,-11.0
oil_gas,BaselineManipulation,-8,1.3,-10.4
oil_gas,WeakTargets,-5,1.2,-6.0
oil_gas,OffsetsOnly,-5,0.8,-4.0
manufacturing,ScopeOmission,-15,1.2,-18.0
manufacturing,IntensityTricks,-10,1.25,-12.5
manufacturing,SelectiveDisclosure,-10,1.0,-10.0
manufacturing,BaselineManipulation,-8,1.25,-10.0
manufacturing,WeakTargets,-5,1.0,-5.0
manufacturing,OffsetsOnly,-5,1.0,-5.0
retail,ScopeOmission,-15,1.4,-21.0
retail,IntensityTricks,-10,1.0,-10.0
retail,SelectiveDisclosure,-10,1.15,-11.5
retail,BaselineManipulation,-8,1.0,-8.0
retail,WeakTargets,-5,1.0,-5.0
retail,OffsetsOnly,-5,1.3,-6.5
technology,ScopeOmission,-15,1.3,-19.5
technology,IntensityTricks,-10,1.0,-10.0
technology,SelectiveDisclosure,-10,1.1,-11.0
technology,BaselineManipulation,-8,0.9,-7.2
technology,WeakTargets,-5,0.8,-4.0
technology,OffsetsOnly,-5,1.2,-6.0
healthcare,ScopeOmission,-15,1.1,-16.5
healthcare,IntensityTricks,-10,1.0,-10.0
healthcare,SelectiveDisclosure,-10,1.0,-10.0
healthcare,BaselineManipulation,-8,1.0,-8.0
healthcare,WeakTargets,-5,1.0,-5.0
healthcare,OffsetsOnly,-5,1.0,-5.0
utilities,ScopeOmission,-15,0.7,-10.5
utilities,IntensityTricks,-10,1.5,-15.0
utilities,SelectiveDisclosure,-10,1.0,-10.0
utilities,BaselineManipulation,-8,1.2,-9.6
utilities,WeakTargets,-5,1.3,-6.5
utilities,OffsetsOnly,-5,0.6,-3.0
